epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.68221,0.91311,2.18635,2.91615,1.15307,0.0034,1,0.01749,0.01352,0.0034,1,0.02059,0.01431,0.93336,2.24814,3.1494,1.43926,2e-05,2e-05,2e-05
2,4.02297,0.70783,1.54067,2.96508,1.08222,0.00344,1,0.02758,0.01972,0.00344,1,0.02351,0.02197,0.92434,2.26214,3.10882,1.43527,5.9406e-05,5.9406e-05,5.9406e-05
3,5.23552,0.95952,2.4672,2.92086,1.1664,0.00344,1,0.01885,0.01337,0.00344,1,0.02442,0.01505,0.96007,2.29551,3.10096,1.45172,9.802e-05,9.802e-05,9.802e-05
4,6.4693,0.99475,2.41413,3.07808,1.26808,0.00343,1,0.02666,0.01182,0.00343,1,0.03462,0.01478,0.93659,2.34149,3.08979,1.43066,0.000135842,0.000135842,0.000135842
5,7.72019,0.92431,2.04598,2.98107,1.1929,0.00335,1,0.52535,0.3557,0.00335,1,0.55214,0.39564,0.85655,1.92119,2.75763,1.19306,0.000172872,0.000172872,0.000172872
6,9.17946,0.89074,1.23382,2.79882,1.0861,0.00333,1,0.87604,0.61287,0.00333,1,0.87604,0.65738,0.89648,1.47462,2.66071,1.10429,0.00020911,0.00020911,0.00020911
7,10.6348,0.68231,0.97551,2.41261,0.95056,0.00333,1,0.88833,0.65924,0.00292,0.875,0.87518,0.70683,0.85427,1.87289,2.55544,0.97291,0.000244556,0.000244556,0.000244556
8,12.0849,0.77485,0.7855,2.14111,0.98328,0.00333,1,0.89733,0.69877,0.00333,1,0.87645,0.70338,0.76224,1.97893,2.5255,0.9694,0.00027921,0.00027921,0.00027921
9,13.5042,0.93086,0.86833,1.99539,1.01119,0.00333,1,0.91192,0.6987,0.00333,1,0.87647,0.72029,0.8327,1.85107,2.51099,0.96224,0.000313072,0.000313072,0.000313072
10,15.057,0.78715,0.83335,1.80515,0.97716,0.00333,1,0.90929,0.70991,0.00333,1,0.87621,0.71585,0.81816,1.75607,2.47488,0.95819,0.000346142,0.000346142,0.000346142
11,16.5014,0.60906,0.70461,1.6978,0.93603,0.00333,1,0.89786,0.76415,0.00333,1,0.87616,0.72072,0.75829,1.98377,2.42103,0.94961,0.00037842,0.00037842,0.00037842
12,17.9187,0.6526,0.75987,1.44394,0.92895,0.00333,1,0.8942,0.73303,0.00333,1,0.881,0.71676,0.69496,2.12331,2.39217,0.94696,0.000409906,0.000409906,0.000409906
13,19.3635,0.69391,0.89357,1.3354,0.95892,0.00333,1,0.895,0.68445,0.00333,1,0.87553,0.66339,0.72439,2.16206,2.33947,0.97125,0.0004406,0.0004406,0.0004406
14,20.7692,0.72415,0.81271,1.32285,0.9493,0.00333,1,0.88093,0.62381,0.00333,1,0.87561,0.65302,0.87931,2.21508,2.31586,1.05883,0.000470502,0.000470502,0.000470502
15,22.1851,0.76787,0.84604,1.28159,0.95416,0.00333,1,0.87551,0.6941,0.00333,1,0.87551,0.66891,0.84094,2.08849,2.33413,1.05609,0.000499612,0.000499612,0.000499612
16,23.6136,0.74284,0.73513,1.10601,0.96288,0.00333,1,0.87567,0.76916,0.00333,1,0.88049,0.75238,0.76545,1.4734,2.35485,1.08571,0.00052793,0.00052793,0.00052793
17,25.0347,0.66863,0.72298,1.06302,0.92475,0.00333,1,0.87601,0.72051,0.00333,1,0.88293,0.75404,0.85056,1.53573,2.42386,1.11965,0.000555456,0.000555456,0.000555456
18,26.4308,0.79645,0.96121,1.12715,0.9919,0.00333,1,0.8471,0.66023,0.00333,1,0.85344,0.71799,0.87339,1.89326,2.5019,1.15819,0.00058219,0.00058219,0.00058219
19,27.8274,0.70034,0.75259,1.07165,0.9848,0.00333,1,0.81975,0.68425,0.00333,1,0.8194,0.68855,1.07087,2.69215,2.71288,1.27817,0.000608132,0.000608132,0.000608132
