epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.54924,0.67672,1.62675,3.0027,1.06777,0.86867,0.83072,0.90446,0.77678,0.86867,0.83072,0.90446,0.7751,0.58578,1.04289,1.47495,1.08544,2e-05,2e-05,2e-05
2,4.63967,0.89002,1.94862,2.84709,1.15867,1,0.84662,0.91674,0.77873,1,0.84662,0.91674,0.77829,0.59521,1.0513,1.4809,1.09114,5.9406e-05,5.9406e-05,5.9406e-05
3,6.66423,1.07798,2.54509,3.43613,1.33528,0.86402,0.79811,0.90049,0.76963,0.86402,0.79811,0.90049,0.76977,0.58467,1.04445,1.51634,1.08717,9.802e-05,9.802e-05,9.802e-05
4,8.62861,0.94628,2.26741,3.33209,1.26467,0.81566,0.875,0.88946,0.73096,0.81566,0.875,0.88946,0.72961,0.60543,1.0543,1.54795,1.09928,0.000135842,0.000135842,0.000135842
5,10.5951,0.9558,2.17175,2.85866,1.22135,0.85859,0.875,0.87114,0.7268,0.85859,0.875,0.87114,0.71479,0.62268,1.08851,1.57837,1.11447,0.000172872,0.000172872,0.000172872
6,12.7451,0.85815,1.81017,2.39162,1.12931,0.97693,0.875,0.935,0.70547,0.97693,0.875,0.935,0.78366,0.66641,1.20791,2.24877,1.03185,0.00020911,0.00020911,0.00020911
7,15.1368,0.69243,0.87551,1.2386,1.04945,0.86673,0.875,0.955,0.90294,0.86673,0.875,0.955,0.84403,0.42273,1.4316,4.21503,0.88742,0.000244556,0.000244556,0.000244556
8,17.7238,0.69615,0.94871,1.13073,1.0051,0.8508,0.875,0.90929,0.80419,0.8508,0.875,0.90929,0.80759,0.50504,1.25842,5.17663,0.91241,0.00027921,0.00027921,0.00027921
9,20.1327,0.81596,0.86762,1.15763,1.03816,0.82329,0.625,0.6847,0.59814,0.82329,0.625,0.6847,0.63905,0.65911,1.12442,4.44684,0.97088,0.000313072,0.000313072,0.000313072
10,22.501,0.7393,0.77342,1.242,0.98976,0.95931,0.625,0.83283,0.70525,0.95931,0.625,0.83283,0.72759,0.69453,0.9646,2.49547,1.03888,0.000346142,0.000346142,0.000346142
