epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.818,0.75033,2.06473,3.05648,1.14541,0.00333,1,0.74682,0.67199,0.00333,1,0.74682,0.67413,0.48444,1.00183,3.29808,0.97898,2e-05,2e-05,2e-05
2,25.4426,0.74178,1.86719,2.92815,1.08889,0.00333,1,0.87449,0.80272,0.00333,1,0.87449,0.80202,0.3621,0.92038,3.20968,0.90834,5.9406e-05,5.9406e-05,5.9406e-05
3,38.2851,0.80783,1.6988,2.66842,1.09016,0.00333,1,0.971,0.86482,0.00333,1,0.971,0.87927,0.41156,0.8213,3.06038,0.88558,9.802e-05,9.802e-05,9.802e-05
4,50.1962,0.86496,1.43381,2.30373,1.10367,0.00333,1,0.971,0.84175,0.00333,1,0.971,0.87527,0.53595,0.86236,3.00178,0.9336,0.000135842,0.000135842,0.000135842
5,62.005,0.57726,0.94337,1.63707,0.94899,0.00333,1,0.971,0.8671,0.00333,1,0.971,0.87327,0.44325,0.93537,2.89747,0.88174,0.000172872,0.000172872,0.000172872
6,73.9135,0.70368,1.1286,1.64423,1.00991,0.00333,1,0.995,0.87034,0.00333,1,0.995,0.85254,0.51659,0.97102,2.80439,0.89649,0.00020911,0.00020911,0.00020911
7,85.9836,0.55654,0.85697,1.33466,0.93765,0.00944,1,0.995,0.92106,0.00944,1,0.995,0.89472,0.44349,1.00351,2.85611,0.89556,0.000244556,0.000244556,0.000244556
8,97.8813,0.60682,0.79017,1.19476,0.97063,0.0097,1,0.995,0.90258,0.0097,1,0.995,0.84814,0.44849,1.24707,2.82552,0.89385,0.00027921,0.00027921,0.00027921
9,109.791,0.67568,0.77541,1.16008,0.96387,0.99336,1,0.995,0.86804,0.99336,1,0.995,0.84319,0.54152,1.40145,2.79015,0.92925,0.000313072,0.000313072,0.000313072
10,121.821,0.68487,0.8805,1.10776,0.9367,1,0.81621,0.995,0.80948,1,0.81621,0.995,0.83343,0.63388,1.47268,2.70355,0.98285,0.000346142,0.000346142,0.000346142
